Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
数字IC设计前端工程师,深圳,50-80k,某大型半导体企业,,经验不限,本科,电子/芯片/半导体,1-49人,"陈女士,猎头顾问"
前端工程师,北京,20-35k·13薪,某杭州计算机软件公司,"Python,React,架构设计,Javascript,框架设计,系统开发",5-10年,本科,计算机软件,1-49人,"路女士,猎头顾问"
WEB前端工程师,上海,30-45k,某上海电子/半导体/集成电路公司,前端开发,5-10年,统招本科,电子/半导体/集成电路,1-49人,"何女士,猎头顾问"
数字前端工程师（海外硕士，可解决京户）,北京-海淀区,20-30k·13薪,北京微芯区块链与边缘计算研究院,,1-3年,硕士,电子/半导体/集成电路,1-49人,"彭女士,招聘经理"
数字IC前端高级工程师/专家,成都,25-35k,某成都电子/半导体/集成电路公司,,3-5年,统招本科,电子/半导体/集成电路,1-49人,"石女士,猎头顾问"
数字前端工程师（PCIe方向）,深圳-南山区,35-60k,飞腾信息技术有限公司,,5-10年,硕士,电子/半导体/集成电路,1-49人,张女士
IP数字前端工程师,南京-浦口区,30-60k·15薪,上海新基讯通信技术有限公司,,1-3年,硕士,电子/半导体/集成电路,1-49人,蔡女士
芯片前端工程师,北京-海淀区,30-50k·14薪,极芯通讯,芯片设计,5-10年,本科,电子/半导体/集成电路,50-99人,"刘女士,高级fpga工程师"
WEB前端工程师,广州-荔湾区,25-35k·15薪,某知名公司,"前端开发,框架开发,框架设计,R语言",3-5年,学历不限,基金/证券/期货,50-99人,"陈先生,猎头顾问"
数字前端高级工程师(J10069),武汉-江夏区,25-50k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,50-99人,"陈女士,人力资源主管"
SOC数字前端工程师,成都,20-40k·15薪,四川和芯微电子股份有限公司,,经验不限,本科,电子/半导体/集成电路,100-499人,"徐女士,人事专员"
SOC数字前端工程师,成都-高新区,薪资面议,成都新基讯,,3-5年,统招本科,电子/半导体/集成电路,100-499人,"欧女士,HR"
前端工程师（2名）,西安-雁塔区,10-15k,坤美达科技(西安)有限公司,"前端开发,CSS,Javascript",3-5年,大专,科技推广服务,100-499人,"安先生,HR"
数字前端高级工程师(J10240),上海-浦东新区,25-50k,芯动科技,,1-3年,本科,电子/半导体/集成电路,100-499人,"郑女士,HR"
芯片设计验证前端工程师,苏州-工业园区,25-50k·14薪,珠海凌烟阁芯片科技有限公司,,3-5年,本科,电子/半导体/集成电路,100-499人,"吴先生,研发副总"
数字前端高级工程师(J10072),苏州-虎丘区,25-50k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,100-499人,"陈女士,人力资源主管"
客户满意中心-前端工程师,杭州,25-50k·16薪,阿里巴巴集团,"前端开发,架构设计,Vue,React,框架开发,框架设计,CSS,HTML5,Javascript,HTML",1-3年,本科,互联网,10000人以上,"胡先生,人力资源专员"
web前端工程师,北京,20-25k·16薪,北京乐会科技有限公司,"javascript,css,vue,html,linux",3-5年,本科,1-49人,10000人以上,"李先生,Web前端、后端.net"
芯片前端工程师,上海-浦东新区,薪资面议,北京算能科技有限公司,,3-5年,统招本科,计算机软件,10000人以上,"范女士,HR BP"
web前端工程师,青岛-黄岛区,8-10k,企小保,"javascript,css,vue,jquery,html,ajax,java,xml,小程序",1-3年,大专,科技金融,100-499人,"张女士,行政助理"
web前端工程师,上海-静安区,12-18k,上海袂抉信息科技有限公司,"React,CSS,HTML,界面开发,电商领域",1-3年,本科,电子商务,100-499人,"宋女士,HR"
前端工程师 （香港科技大学数字金融科技实验室-研究助理）,香港-西贡区,16-24k,佑宇宙有限公司,"框架设计,框架开发,前端开发,HTML,Javascript",经验不限,本科,学校教育,100-499人,"杨先生,Coordinator"
芯片前端工程师,成都-武侯区,薪资面议,北京算能科技有限公司,,3-5年,统招本科,计算机软件,100-499人,"范女士,HR BP"
数字IC设计前端工程师,深圳-南山区,30-60k·16薪,TP-Link,,1-3年,本科,通信设备,100-499人,"黄女士,人力资源专员"
芯片前端工程师,西安-长安区,10-30k,中兴微电子,,经验不限,本科,电子/半导体/集成电路,2000-5000人,郭先生
Web前端工程师（大厂武侯区）,成都-武侯区,12-24k,法本信息,"模块开发,前端开发,功能开发,React,ECMAScript 6,ECMAScript",3-5年,大专,互联网,10000人以上,"黄先生,招聘主管"
芯片前端工程师,南京,30-60k·15薪,建瓴半导体,,5-10年,本科,电子/半导体/集成电路,100-499人,"陈先生,芯片设计经理"
IP数字前端工程师,南京-浦口区,薪资面议,南京新基讯通信技术有限公司,,1-3年,本科,电子/半导体/集成电路,100-499人,"蔡女士,HR"
react前端工程师,长沙,12-16k,极限数据(北京)科技有限公司,"react,前端开发",经验不限,本科,计算机软件,100-499人,"曾先生,创始人兼CEO"
芯片前端工程师,深圳-南山区,10-30k,中兴微电子,,经验不限,本科,电子/半导体/集成电路,2000-5000人,郭先生
资深数字前端工程师,北京-大兴区,40-70k,集创北方,,5-10年,硕士,电子/半导体/集成电路,1000-2000人,"宿女士,HRBP"
高级数字前端工程师,苏州,25-50k,某苏州电子/半导体/集成电路公司,,3-5年,统招本科,电子/半导体/集成电路,1-49人,"李女士,猎头顾问"
前端工程师 (MJ000827),南宁-良庆区,10-15k,中国—东盟信息港股份有限公司,"前端开发,Node.js,移动开发,MVVM,IT/信息化领域,Javascript,HTML,PHP,D语言,Java",1-3年,本科,互联网,500-999人,"欧女士,招聘经理"
web前端工程师,大连-沙河口区,15-18k,日立解决方案(中国)有限公司,"Node.js,Taro,框架设计,HTML,ElementUI,Vue,Git",5-10年,大专,通信设备,500-999人,"孙女士,HR"
数字前端工程师（ethernet/PCIE方向）,无锡-锡山区,30-60k,无锡芯光互连技术研究院,,1-3年,本科,电子/半导体/集成电路,50-99人,"许女士,人事主管"
芯片前端工程师,北京-海淀区,50-75k·14薪,SUNLUNE,,3-5年,本科,电子/半导体/集成电路,50-99人,"王女士,招聘专家"
数字前端工程师,上海,40-70k·17薪,某知名公司,"IC前端,数字IC前端工程师,sta,综合,UPF,芯片设计,chiplet",5-10年,统招本科,计算机软件,100-499人,"段恩华,猎头顾问"
web前端工程师,广州-番禺区,7-11k,广州贝帮信息科技有限公司,"javascript,css,前端开发,react,jquery,html,bootstrap,npm",1-3年,本科,咨询服务,5000-10000人,"李先生,营销专员"
SOC数字前端工程师,南京-浦口区,薪资面议,南京新基讯通信技术有限公司,,1-3年,本科,电子/半导体/集成电路,5000-10000人,"蔡女士,HR"
前端高级工程师,苏州,15-20k,中国科技出版,"前端开发,Node.js,架构设计,Sass,CSS,HTML,Less,ECMAScript 6,ECMAScript,HTML5",3-5年,本科,广播/影视/录音,1000-2000人,"孙先生,招聘和人员配置主管"
数字IC设计前端工程师,上海-浦东新区,30-60k,上海韬润半导体有限公司,,3-5年,统招本科,电子/半导体/集成电路,1000-2000人,"郑女士,人力资源总监"
本部-前端工程师-英文面试-不加班-核心职位,深圳-南山区,23-35k·13薪,中电金信,GraphQL,3-5年,统招本科,计算机软件,10000人以上,"李女士,招聘专家"
数字IC设计前端工程师（以太网方向）,深圳-南山区,30-60k·16薪,TP-Link,"verilog,VCS,Verdi,spyglass,RTL",3-5年,硕士,通信设备,10000人以上,"曾女士,人力资源专员"
前端工程师,深圳,25-30k,某深圳机械/设备公司,,3-5年,统招本科,机械/设备,100-499人,"谭女士,猎头顾问"
React前端工程师,成都-武侯区,13-18k,普华永道商务服务(成都)有限公司,"架构设计,前端开发,MobX,Vue,模块开发,网络开发,jQuery,CSS,Javascript,HTML",3-5年,本科,专业技术服务,10000人以上,"李女士,HR"
芯片前端工程师,深圳,40-70k,深圳南山某知名公司,"verilog,芯片设计,rtl",3-5年,统招本科,电子/芯片/半导体,100-499人,"李女士,猎头顾问"
web前端工程师,广州-天河区,15-20k,InsCoder,"HTML5,前端开发,Javascript,CSS",5-10年,本科,专业技术服务,100-499人,"何先生,Co-Founder"
web前端工程师,深圳-南山区,15-20k,InsCoder,"HTML5,前端开发,Javascript,CSS",5-10年,本科,专业技术服务,100-499人,"何先生,Co-Founder"
本部-前端工程师-英文面试-不加班-核心职位,广州-天河区,23-35k·13薪,中电金信,GraphQL,3-5年,统招本科,计算机软件,10000人以上,"李女士,招聘专家"
GPT 应用芯片前端工程师,上海-浦东新区,30-60k,万有引力(宁波)电子科技有限公司,,1-3年,本科,电子/半导体/集成电路,100-499人,"贾先生,显示算法负责人"
WEB前端工程师,杭州,18-35k,华为云计算技术有限公司,"Web开发,前端开发,Javascript",1-3年,本科,计算机软件,100-499人,"丁先生,数据工程师"
数字前端工程师(图像、视频),上海-浦东新区,30-60k·15薪,博通集成电路(上海)股份有限公司,,1-3年,硕士,电子/半导体/集成电路,100-499人,"閤女士,人力资源经理"
高级前端工程师,佛山-顺德区,15-18k·14薪,广东乐从钢铁世界有限公司,"前端开发,Vue,jQuery,框架设计,框架开发,CSS,HTML",5-10年,大专,房地产开发经营,100-499人,罗女士
SOC/IP数字前端工程师,上海-浦东新区,65-95k·13薪,思迹信息技术(苏州)有限公司,,5-10年,统招本科,电子/半导体/集成电路,100-499人,赵女士
芯片前端工程师,天津,20-40k·15薪,恩智浦半导体(天津)有限公司,,经验不限,本科,电子/半导体/集成电路,500-999人,"李先生,IC前端设计师"
web初级前端工程师,厦门,8-12k·13薪,厦门东软汉和信息科技有限公司,"css,html,webpack,git,svn",1-3年,大专,融资未公开,500-999人,"马女士,人事"
WEB前端工程师,北京-朝阳区,25-40k·14薪,美餐巧达科技,,5-10年,本科,生活服务O2O,1000-2000人,"宋女士,招聘专员"
ISP数字前端工程师,北京-海淀区,20-50k·15薪,辉羲智能科技(上海)有限公司,,1-3年,硕士,计算机软件,100-499人,"彭先生,多媒体系统高级主管工程师"
芯片设计验证前端工程师,珠海-横琴新区,25-50k·14薪,珠海凌烟阁芯片科技有限公司,,3-5年,本科,电子/半导体/集成电路,100-499人,"吴先生,研发副总"
web前端工程师,珠海-香洲区,15-20k,InsCoder,"HTML5,前端开发,Javascript,CSS",5-10年,本科,专业技术服务,100-499人,"何先生,Co-Founder"
芯片前端工程师,北京-海淀区,40-70k,中国电子科技南湖研究院,,5-10年,本科,专业技术服务,100-499人,"李先生,中后端负责人"
芯片设计验证前端工程师,上海-浦东新区,25-50k·14薪,珠海凌烟阁芯片科技有限公司,,3-5年,本科,电子/半导体/集成电路,100-499人,"吴先生,研发副总"
YF11--高级模拟前端工程师,北京-朝阳区,30-60k,广东省大湾区集成电路与系统应用研究院,模拟芯片设计,3-5年,硕士,电子/半导体/集成电路,100-499人,"梁先生,HR"
web前端工程师,长沙,12-15k,亿米科技,"javascript,css,react,vue,html,小程序",3-5年,本科,互联网,100-499人,"向女士,人事主管"
web前端工程师,上海-杨浦区,18-28k·13薪,InsCoder,"前端开发,jQuery,HTML5,CSS,HTML,React,Javascript,Vue,电商领域",3-5年,统招本科,专业技术服务,100-499人,"杨先生,BOSS"
前端工程师,上海-闵行区,10-15k,上海马帮科技有限公司,"Vue,jQuery,HTML,CSS",3-5年,本科,互联网,500-999人,"颜女士,HRBP主管"
web前端工程师岗位,周口-川汇区,8-13k,河南圣硕农业发展有限公司,"javascript,html,vue,前端开发,vue.js,ajax",3-5年,大专,互联网,500-999人,"胡先生,人事"
web前端工程师,天津-西青区,10-20k·15薪,经纬恒润,,3-5年,本科,电子/半导体/集成电路,2000-5000人,"张女士,人力运营专员"
数字前端工程师 芯片设计工程师（高速接口）DDR/Ethernet/I/O,成都-双流区,30-60k·15薪,白盒子(上海)微电子科技有限公司,,5-10年,本科,电子/半导体/集成电路,2000-5000人,"李女士,招聘主管"
数字IC前端工程师,武汉,18-22k·15薪,芯动科技,,经验不限,本科,电子/半导体/集成电路,2000-5000人,"段女士,HR"
web前端工程师,哈尔滨-松北区,8-14k·14薪,哈尔滨海邻科信息技术有限公司,"前端开发,模块开发,移动开发,React,Vue,框架设计,框架开发,功能开发,后端开发,uni-app",3-5年,学历不限,互联网,100-499人,"马先生,研发副总监"
高级前端工程师,北京-石景山区,15-16k,江苏智能无人装备产业创新中心有限公司,"TypeScript,Javascript",3-5年,统招本科,电气机械/器材,50-99人,"王女士,数字化方向负责人"
数字电路前端工程师,北京-海淀区,10-15k,启元实验室,"数字前端设计,数字前端验证",3-5年,硕士,人工智能,50-99人,"张女士,政府事务经理"
欧洲外卖平台技术团队Angular TS前端工程师,杭州-西湖区,20-28k·13薪,青岛君峰食里信息科技有限公司,"javascript,前端开发,angular,git,android,ios,express,mongodb,nosql,flutter",经验不限,本科,IT服务,50-99人,"耿女士,运营主管"
数字前端工程师 芯片设计工程师（高速接口）DDR/Ethernet/I/O,上海-徐汇区,30-60k·15薪,白盒子(上海)微电子科技有限公司,,5-10年,本科,电子/半导体/集成电路,50-99人,"李女士,招聘主管"
YF11--高级模拟前端工程师,广州-黄埔区,30-60k,广东省大湾区集成电路与系统应用研究院,模拟芯片设计,3-5年,硕士,电子/半导体/集成电路,50-99人,"梁先生,HR"
Web前端工程师,济南,10-18k,山东未来网络研究院,"前端开发,框架设计,框架开发,IT/信息化领域,模块开发,界面开发,工业互联网,大数据领域",5-10年,本科,计算机软件,50-99人,"张女士,招聘"
IC数字前端工程师,上海-浦东新区,30-45k,移知科技(上海)有限公司,"IC芯片,课程开发,技术分享",5-10年,硕士,在线教育,50-99人,"闫女士,测试"
web前端工程师,苏州,8-12k·14薪,苏州清研微视,"界面开发,功能开发,模块开发,Web开发,前端开发,框架开发,框架设计,HTML5,HTML",3-5年,统招本科,物联网,100-499人,"顾女士,人事经理"
